ID;Jahr;Stadtteilschlüssel;Stadtteilname;Bevölkerung am Ort der Hauptwohnung insgesamt;Bevölkerung am Ort der Hauptwohnung weiblich;Bevölkerung am Ort der Hauptwohnung ohne Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Migrationshintergrund;Bevölkerung am Ort der Hauptwohnung Ausländer
1;2020;011;Innenstadt;24217;11531;9646;14571;9999
6;2020;033;Neckarstadt-Nordost;5507;2746;2536;2971;1546
14;2020;072;Schönau-Süd;3685;1832;2511;1174;525
24;2020;121;Käfertal-Mitte;8767;4320;5253;3514;1986
25;2020;122;Speckweggebiet;2770;1411;1712;1058;431
27;2020;124;Franklin;3444;1665;1765;1679;835
29;2020;130;Vogelstang;12553;6534;6051;6502;2478
30;2020;140;Wallstadt;7896;4074;6012;1884;668
31;2020;150;Feudenheim;13928;7392;10601;3327;1494
35;2020;171;Casterfeld;5928;2989;3481;2447;1151
36;2020;172;Pfingstberg;1708;868;1180;528;255
39;2019;011;Innenstadt;24649;11721;9954;14695;10093
43;2019;032;Herzogenried;7508;3704;2858;4650;2382
46;2019;041;Oststadt;12655;6496;8246;4409;2322
48;2019;050;Lindenhof;13590;7121;8928;4662;2292
49;2019;061;Sandhofen;11865;6009;7511;4354;2442
50;2019;062;Sandhofen-Nord;1988;989;1471;517;286
51;2019;071;Schönau-Nord;8823;4481;3997;4826;2648
53;2019;081;Waldhof-West;3403;1604;1288;2115;1621
58;2019;092;Neuhermsheim;4527;2322;2614;1913;696
59;2019;101;Seckenheim;12831;6546;9103;3728;1797
60;2019;102;Hochstätt;3169;1553;862;2307;1428
62;2019;121;Käfertal-Mitte;8860;4359;5366;3494;1973
65;2019;124;Franklin;1785;840;889;896;512
66;2019;125;Käfertal-Süd;9603;4736;4455;5148;2417
67;2019;130;Vogelstang;12523;6550;6169;6354;2310
71;2019;162;Niederfeld;7653;4024;5302;2351;1114
73;2019;171;Casterfeld;5971;3016;3580;2391;1088
77;2018;011;Innenstadt;24565;11561;10003;14562;10058
84;2018;041;Oststadt;12611;6515;8327;4284;2215
86;2018;050;Lindenhof;13576;7112;9036;4540;2178
88;2018;062;Sandhofen-Nord;1964;976;1483;481;271
90;2018;072;Schönau-Süd;3667;1824;2576;1091;487
91;2018;081;Waldhof-West;3397;1602;1329;2068;1554
97;2018;101;Seckenheim;12804;6559;9160;3644;1732
99;2018;110;Friedrichsfeld;5482;2705;3723;1759;1054
101;2018;122;Speckweggebiet;2753;1401;1737;1016;414
105;2018;130;Vogelstang;12499;6566;6298;6201;2128
106;2018;140;Wallstadt;7968;4096;6129;1839;650
107;2018;150;Feudenheim;14318;7530;10880;3438;1693
112;2018;172;Pfingstberg;1655;851;1205;450;211
116;2017;012;Jungbusch;6353;2746;2055;4298;3384
125;2017;061;Sandhofen;11714;5947;7635;4079;2231
126;2017;062;Sandhofen-Nord;1975;977;1523;452;254
130;2017;082;Gartenstadt;10429;5386;7830;2599;930
136;2017;102;Hochstätt;3202;1566;899;2303;1393
139;2017;122;Speckweggebiet;2621;1337;1702;919;353
143;2017;130;Vogelstang;12530;6583;6439;6091;2010
144;2017;140;Wallstadt;7956;4101;6151;1805;632
145;2017;150;Feudenheim;14688;7582;10984;3704;1965
147;2017;162;Niederfeld;7634;4019;5319;2315;1084
153;2016;011;Innenstadt;23555;11153;9560;13995;9577
